Tên nền tảng (Platform),Nhà phát triển / License,Ngôn ngữ HDL / Framework,Cores hỗ trợ,Kiến trúc hệ thống,Ngoại vi tích hợp,Hỗ trợ bộ nhớ,Khả năng chạy OS,Tài nguyên FPGA / Silicon,Ứng dụng điển hình,Ưu điểm,Hạn chế,Link
Rocket Chip,"UC Berkeley BAR, SiFive / BSD","Chisel, Scala",Rocket,"TileLink-based SoC generator, cache-coherent multicore","UART, SPI, GPIO, Interrupt controller, Debug module","SRAM, DDR via controller, cache hierarchy","Linux, RTOS, Bare-metal",Trung bình đến lớn; phù hợp FPGA Xilinx/ASIC,"Nghiên cứu CPU, Linux-capable SoC, ASIC prototyping","Highly-parameterized, ecosystem mạnh, nền tảng của Chipyard",Chisel learning curve cao,"https://github.com/chipsalliance/rocket-chip, https://chipyard.readthedocs.io"
lowRISC,lowRISC / BSD,"Verilog, Chisel",RV32IM,SoC đơn nhân đơn giản hướng open-source silicon,"UART, GPIO, Timer, SPI","SRAM, external DRAM","RTOS, Bare-metal",Nhẹ đến trung bình,"Giáo dục, embedded SoC","Thiết kế đơn giản, dễ nghiên cứu",Không mạnh cho Linux/full SMP,"https://github.com/lowRISC/lowrisc-chip, https://www.lowrisc.org"
PULPino,"ETH Zurich, Univ. Bologna / Solderpad",SystemVerilog,"RI5CY, Zero-riscy",MCU-style SoC tiết kiệm năng lượng,"UART, SPI, I2C, GPIO, Timer, DMA","Tightly coupled memory, SRAM","Bare-metal, FreeRTOS",Rất nhẹ,"IoT, ultra-low-power MCU",Power efficiency rất tốt,Không hỗ trợ Linux/MMU,"https://github.com/pulp-platform/pulpino, https://pulp-platform.org"
PULPissimo,"ETH Zurich, Univ. Bologna / Solderpad",SystemVerilog,"RI5CY, Zero-riscy",Single-core microcontroller SoC,"uDMA, SPI, I2C, I2S, UART, GPIO, Camera interface","L2 SRAM, external HyperBus","RTOS, Bare-metal",Nhẹ,"Edge AI, sensor processing",Peripheral subsystem mạnh,Không tối ưu cho high-performance Linux,"https://github.com/pulp-platform/pulpissimo, https://pulp-platform.org"
Ariane SoC,ETH Zurich / Solderpad,SystemVerilog,Ariane (CVA6),64-bit Linux-capable SoC,"UART, Ethernet, Timer, Debug",DDR/AXI memory subsystem,"Linux, RTOS",Trung bình đến lớn,Linux-capable FPGA SoC,RV64GC + MMU hoàn chỉnh,Hiệu năng thấp hơn commercial high-end cores,"https://github.com/openhwgroup/cva6, https://cva6.readthedocs.io"
OpenPULP,"ETH Zurich, Univ. Bologna / Solderpad",SystemVerilog,RI5CY cluster,Manycore ultra-low-power platform,"DMA, GPIO, camera/audio interfaces",Scratchpad + shared L2,"RTOS, runtime frameworks",Trung bình,"Parallel DSP, AI accelerator research",Heterogeneous multicore mạnh,Lập trình phức tạp,"https://github.com/pulp-platform, https://pulp-platform.org"
HERO,ETH Zurich / Solderpad,SystemVerilog + FPGA integration,RI5CY clusters,Heterogeneous CPU + FPGA accelerator platform,"Accelerator interfaces, DMA","Shared memory, FPGA memory hierarchy",Linux host + accelerator runtime,FPGA-intensive,"HPC acceleration, heterogeneous computing",CPU-FPGA integration tốt,Triển khai phức tạp,https://github.com/pulp-platform/hero
OpenPiton + Ariane,Princeton + ETH Zurich / BSD + Solderpad,"Verilog, SystemVerilog",Ariane/CVA6,Manycore cache-coherent tiled architecture,"NoC, Debug, Ethernet","Shared memory, DDR",Linux SMP,Lớn; yêu cầu FPGA cao cấp hoặc ASIC,"Manycore research, datacenter-scale RISC-V",Scalability rất cao,Build/runtime phức tạp,https://github.com/PrincetonUniversity/openpiton
Briey,SpinalHDL community / MIT,SpinalHDL (Scala),VexRiscv,Lightweight FPGA SoC,"UART, VGA, GPIO, Timer",SDRAM/BRAM,"RTOS, Bare-metal, limited Linux experiments",Rất nhẹ,"FPGA demo, education","Dễ synthesize, nhanh trên FPGA nhỏ",Tính năng hạn chế,"https://github.com/SpinalHDL/VexRiscv, https://spinalhdl.github.io/SpinalDoc-RTD/"
Riscy,Aleksandar Kostovic / MIT,Verilog,RV64I,Simple RV64 SoC,"UART, Timer",SRAM,Bare-metal,Nhẹ,Giáo dục kiến trúc máy tính,"Dễ hiểu, tối giản",Không có MMU/peripheral phong phú,https://github.com/AleksandarKostovic/Riscy-SoC
