Tên Core,Nhà Phát Triển / License,Ngôn Ngữ HDL,ISA Hỗ Trợ,Pipeline,Tính Năng Nổi Bật,Hiệu Năng Benchmark,Tần Số Đạt Được,Tài Nguyên FPGA / Silicon,Ứng Dụng Điển Hình,Ưu Điểm,Hạn Chế,Link
Ibex,lowRISC / Apache 2.0,SystemVerilog,RV32I[M]C / RV32E[M]C,Cấu trúc 2 tầng (stage) hoặc 3 tầng ,"Hỗ trợ bảo mật phần cứng (Memory Protection, Physical Memory Protection - PMP), các tính năng chống tấn công kênh bên (Side-channel mitigation), Dummy Instruction Insertion.",Đạt xấp xỉ 2.33 CoreMark/MHz và 1.21 DMIPS/MHz (khi sử dụng cấu hình tối ưu).,Phụ thuộc vào công nghệ: Khoảng 100-200 MHz trên FPGA (Xilinx Artix-7) và có thể lên tới 500MHz - 1GHz trên tiến trình ASIC 28nm,Cấu hình nhỏ nhất (RV32EC) tốn khoảng ~15k Gates (ASIC) hoặc ~1.5k LUTs (FPGA). Cấu hình đầy đủ khoảng ~60k-80k Gates.,"Vi điều khiển IoT, Hệ thống nhúng","Mã nguồn mở hoàn toàn, có thể tinh gọn cấu hình RV32E, tập lệnh bảo mật.",Chỉ hỗ trợ 32-bit pipeline ngắn,https://github.com/lowRISC/ibex
PicoRV32,Clifford Wolf / ISC,Verilog,"RV32I/E[MC], Có hỗ trợ cấu hình RV32E (giảm xuống 16 thanh ghi).","Không có Pipeline (Non-pipelined). Kiến trúc hoạt động theo dạng máy trạng thái đa chu kỳ (Multi-cycle state machine), mất khoảng 4-5 chu kỳ đồng hồ (CPI) để hoàn thành một lệnh.","Hỗ trợ giao diện AXI4-Lite gốc (module picorv32_axi), tích hợp Giao diện Bộ đồng xử lý (PCPI - Pico Co-Processor Interface) cho phép gắn thêm các bộ tăng tốc phần cứng tùy chỉnh, hỗ trợ Ngắt (IRQ).",Khoảng 0.516 DMIPS/MHz (đối với bài test Dhrystone). Chỉ số CPI trung bình (Cycles Per Instruction) dao động từ 4 đến 5 tùy thuộc vào tập lệnh.,Tần số rất cao do không có đường dẫn logic dài: Lên tới 250 - 400 MHz trên FPGA Xilinx 7-Series và có thể đạt ~750 MHz trên các tiến trình ASIC tiêu chuẩn.,"Cực kỳ nhỏ: Tốn khoảng 750 đến 2000 LUTs trên FPGA Xilinx 7-Series (tùy thuộc vào việc có bật AXI4, khối nhân chia và ngắt)","Làm bộ vi điều khiển phụ trợ (Auxiliary processor) trong các SoC lớn, chip nhúng IoT","Mã nguồn Verilog 1 file cực kỳ dễ đọc, hiểu và tích hợp. Rất tiết kiệm tài nguyên. Có giao diện PCPI cực kỳ tiện lợi để gắn thêm các bộ xử lý custom (như bộ giải mã). Tương thích sẵn với bus AXI4.",Hiệu năng tính toán (IPC) thấp do không có pipeline. Không hỗ trợ các tính năng bảo mật bộ nhớ (PMP) hoặc các cấp độ đặc quyền phức tạp để chạy hệ điều hành như Linux.,https://github.com/cliffordwolf/picorv32
VexRiscv,SpinalHDL / MIT,SpinalHDL,RV32I[M][A][F][D][C]. Cho phép người dùng tự do cấu hình bật/tắt từng tập lệnh mở rộng.,Cấu trúc 5 tầng (5-stages): Fetch -> Decode -> Execute -> Memory -> Writeback.,"Kiến trúc Plugin (Plugin-based): CPU không phải là một khối liền mạch mà được ghép lại từ nhiều Plugin nhỏ (Ví dụ: IntAluPlugin, MulPlugin, CsrPlugin). Hỗ trợ Caches (Instruction/Data), MMU, PMP, JTAG Debug và tương thích nhiều Bus (AXI4, Avalon, Wishbone).",Rất cao đối với kiến trúc 32-bit: 1.44 CoreMark/MHz và 1.25 DMIPS/MHz (khi bật full cấu hình và bộ nhớ đệm).,nhờ pipeline 5 tầng: Có thể đạt trên 400 MHz trên FPGA Xilinx Artix-7 (tốc độ cao nhất trong số các core mã nguồn mở) và dễ dàng vượt mức 1 GHz trên ASIC.,"- Cấu hình nhỏ nhất (chỉ RV32I): ~500 LUTs / Registers.


- Cấu hình đầy đủ chạy Linux (có Caches, MMU): ~3000 đến 4000 LUTs.",Từ vi điều khiển nhúng siêu nhỏ cho đến SoC lõi đa nhân (Multi-core) chạy hệ điều hành Linux/FreeRTOS. Phù hợp cho các dự án cần tích hợp bộ tăng tốc AI hoặc mã hóa (Crypto).,chèn thêm lệnh phần cứng tùy chỉnh (Custom Instructions) trực tiếp vào ALU mà không cần viết lại toàn bộ core. Sinh ra mã Verilog rất gọn gàng và tối ưu tài nguyên.,,https://github.com/SpinalHDL/VexRiscv
CV32E40P,OpenHW Group,SystemVerilog,RV32IM[F]C (Tùy chọn bật/tắt khối Floating Point - F) kết hợp cùng tập lệnh mở rộng Xcorev (Core-V eXtensions) chuyên biệt cho DSP.,Cấu trúc 4 tầng (4-stages): Instruction Fetch (IF) -> Instruction Decode (ID)  ->  Execute (EX)  ->  Writeback (WB).,"Vòng lặp phần cứng (Hardware Loops) cho phép chạy vòng lặp không tốn chu kỳ trễ. Hỗ trợ các lệnh tính toán nhân cộng tích lũy (MAC), Post-increment load/store. Giao tiếp bộ nhớ qua chuẩn bus OBI (Open Bus Interface).",Đạt xấp xỉ 3.16 CoreMark/MHz ,"Tối ưu rất tốt cho ASIC, có thể đạt trên 600 MHz ở tiến trình 28nm. Trên môi trường mô phỏng FPGA thông thường, tốc độ dao động khoảng 50 - 100 MHz.","Kích thước thuộc dạng trung bình khá (Mid-size). Tốn khoảng 40k - 50k Logic Gates trên ASIC (không có FPU), và lên tới ~70k Gates nếu bật FPU. Tương đương khoảng 4000 - 6000 LUTs trên FPGA.","Lý tưởng cho các thiết bị IoT yêu cầu hiệu năng tính toán cao, xử lý tín hiệu số (DSP), Machine Learning tại biên (Edge AI) và điều khiển động cơ.","Hiệu suất tính toán (IPC) vượt trội nhờ tập lệnh mở rộng Xcorev. Được xác minh và kiểm thử ở cấp độ công nghiệp (Industrial-grade verification) bởi OpenHW Group, đảm bảo độ tin cậy và không có lỗi phần cứng tiềm ẩn.","Mã nguồn phức tạp, khó can thiệp thay đổi đối với dự án sinh viên. Phải sử dụng bộ trình biên dịch riêng (corev-gcc) để tận dụng hết các tập lệnh mở rộng thay vì GCC chuẩn. Việc giao tiếp bằng bus OBI đòi hỏi phải viết thêm cầu nối (bridge) nếu muốn dùng với bus AXI4.",https://github.com/openhwgroup/cv32e40p
SERV,Olof Kindgren/ISC License,Verilog,"RV32I / RV32E. Hỗ trợ tùy chọn thêm các tập lệnh Nén [C], Nhân chia [M] và [Zicsr] thông qua các tham số cấu hình.","Kiến trúc Bit-Serial (Nối tiếp từng bit). Không dùng pipeline truyền thống. Nó xử lý 1 lệnh 32-bit bằng cách tính toán lần lượt từng bit một qua ALU 1-bit, mất từ 32 chu kỳ đồng hồ (clock cycles) trở lên cho một lệnh.","Lõi RISC-V nhỏ, Có đi kèm nền tảng SoC mẫu tên là Servant và tương thích hệ sinh thái quản lý gói FuseSoC.",Hiệu năng IPC (Lệnh/Chu kỳ) cực kỳ thấp (khoảng ~0.04 CoreMark/MHz) do định hướng đánh đổi hoàn toàn tốc độ lấy diện tích nhỏ nhất có thể.,Tần số tối đa (Fmax) rất cao vì đường dẫn logic cực ngắn (logic depth nhỏ). Dễ dàng chạy ở mức hàng trăm MHz trên các dòng FPGA thông thường.,Kích thước kỷ lục siêu nhỏ: Tốn chưa tới 200 LUTs (Cụ thể khoảng 198 LUTs trên dòng FPGA Lattice iCE40).,"Dùng để thay thế các máy trạng thái (FSM) phức tạp, vi điều khiển cho cảm biến (Sensor Hub), các hệ thống nhúng IoT","Tiết kiệm tài nguyên Code Verilog  gọn nhẹ, dễ bảo trì, dễ port lên mọi loại FPGA (như dòng iCE40). Có sẵn thư viện testbench (verilator) và công cụ tự động hóa",Tốc độ xử lý siêu chậm do phải tốn ít nhất 32 xung nhịp để xử lý xong 1 lệnh cơ bản. Hoàn toàn không phù hợp cho các tác vụ cần hiệu năng tính toán cao hoặc xử lý dữ liệu liên tục.,https://github.com/olofk/serv
NEORV32,Stephan Nolting / license BSD 3-Clause,VHDL (VHDL-93),RV32I[E][M][A][C][B][K][U][X][Zicsr][Zifencei][Zmmul][Zfinx][Zxcfu]. Hỗ trợ cả tập lệnh mã hóa Scalar Cryptography [K].,Cấu trúc 2 tầng (2-stages): Fetch và Execute. Đây là thiết kế tối giản để giảm thiểu tài nguyên và độ phức tạp của logic điều khiển.,"Là một Processor-system-on-chip hoàn chỉnh: Tích hợp sẵn Bootloader, UART, SPI, TWI, PWM, Timer, Watchdog, và khối CFS (Custom Functions Subsystem) để người dùng tự chèn logic riêng.",Đạt khoảng 2.50 CoreMark/MHz và xấp xỉ 1.2 DMIPS/MHz.,Khoảng 100-120 MHz trên FPGA phổ thông (Artix-7). Có thể cao hơn nếu chỉ tổng hợp CPU lõi mà không kèm ngoại vi.,"Cấu hình CPU tối thiểu: ~1100 LUTs.


- Cấu hình SoC đầy đủ (với ngoại vi): ~2000 đến 3000 LUTs trên dòng Xilinx 7-series.","Thay thế các vi điều khiển 8/16-bit, điều khiển hệ thống nhúng trên FPGA, các nút cảm biến IoT hoặc làm SoC học thuật.","Dễ thiết lập (chỉ cần chạy make), không phụ thuộc vào các công cụ EDA . Đi kèm bộ thư viện C (Software framework)  tốt.","Viết bằng VHDL nên có thể không thuận tiện,Pipeline ngắn nên không đạt được xung nhịp siêu cao như các thiết kế 5 tầng (như VexRiscv).",https://github.com/stnolting/neorv32
SweRV EH1,Western Digital (WD)//Apache 2.0,SystemVerilog,"RV32IMC (Tập lệnh cơ sở 32-bit, Nhân chia [M], Nén lệnh [C] và các thanh ghi hệ thống Zicsr/Zifencei).","Cấu trúc cực kỳ mạnh mẽ: 9 tầng (9-stages), kiến trúc Phát hành kép (Dual-issue superscalar), thực thi theo thứ tự (In-order execution).",Có thể xử lý 2 lệnh cùng lúc trên 1 xung nhịp. Tích hợp bộ dự đoán phân nhánh (Branch Predictor) tiên tiến. Có bộ nhớ truy xuất cực nhanh: ICCM (cho lệnh) và DCCM (cho dữ liệu). Tích hợp sẵn bộ điều khiển ngắt khả trình (PIC). Hỗ trợ bus AXI4 và AHB-Lite.,Xấp xỉ 4.9 CoreMark/MHz,"Thiết kế nhắm thẳng vào ASIC hiệu năng cao, có thể đạt tốc độ hơn 1 GHz trên tiến trình TSMC 28nm. Trên FPGA, tốc độ bị giới hạn nhiều bởi kiến trúc pipeline sâu và phức tạp.","Kích thước rất lớn (Heavy-weight). Do là kiến trúc Superscalar 9 tầng, nó tiêu tốn diện tích silicon và tài nguyên logic (LUTs/Registers) lớn hơn rất nhiều lần so với các lõi như VexRiscv hay NEORV32.","Các ứng dụng biên yêu cầu tính toán, chip vi điều khiển cho ổ cứng SSD (Western Digital phát triển lõi này để dùng trong chính ổ cứng của họ), xử lý tín hiệu mạng và thiết bị lưu trữ.","Hiệu suất IPC (số lệnh trên một chu kỳ). Mã nguồn được kiểm thử ở cấp độ thương mại/công nghiệp (Industrial-grade), có độ tin cậy ",Kiến trúc Dual-issue khiến việc tự mod thêm các lệnh phần cứng (Custom Instructions) khó. Yêu cầu công cụ tổng hợp SystemVerilog mạnh,https://github.com/chipsalliance/Cores-VeeR-EH1
rocket,,,,,,,,,,,,
BOOM,,,,,,,,,,,,
CVA6,,,,,,,,,,,,
