Tên SoC,Nhà sản xuất,Công nghệ sản xuất (process node),Cores tích hợp,Số lượng core,Tần số hoạt động,Bộ nhớ tích hợp,Ngoại vi hỗ trợ,Khả năng chạy OS,Ứng dụng điển hình,Ưu điểm,Hạn chế,Link
FE310-G000,SiFive,TSMC CL018G 180nm,SiFive E31 RISC-V core,1,,"16 KiB DTIM/data SRAM, 16 KiB instruction cache, 8 KiB Mask ROM, 8 KiB OTP","PLIC/CLINT interrupt, GPIO, UART, QSPI/SPI, PWM, Watchdog, RTC, PMU/AON, JTAG",RTOS,"thiết bị IoT đơn giản, điều khiển cảm biến, giao tiếp ngoại vi, lập trình bare-metal và RTOS nhỏ.","Dùng kiến trúc RISC-V mở; tích hợp GPIO, UART, SPI, PWM, timer, watchdog, RTC; hỗ trợ QSPI execute-in-place và debug JTAG","RAM nhỏ, chỉ hỗ trợ Machine mode, không phù hợp chạy Linux/OS lớn; ngoại vi còn cơ bản, không có USB, Ethernet, GPU; không phù hợp xử lí nặng.",chrome-extension://kdpelmjpfafjppnhbloffcjpeomlnpah/https://static.dev.sifive.com/FE310-G000.pdf
FE310-G002,SiFive,TSMC CL018G 180nm,SiFive E31 Core Complex,1,Tối đa 320 MHz,"8 KiB OTP, 8 KiB Mask ROM, 16 KiB Instruction Cache, 16 KiB Data SRAM","GPIO 32 chân, UART0/UART1, QSPI0, SPI1/SPI2, PWM0/PWM1/PWM2, I²C0, PLIC, CLINT, watchdog, RTC, AON/PMU, JTAG debug.",RTOS,"IoT đơn giản, edge computing nhỏ, điều khiển cảm biến/thiết bị ngoại vi, lập trình bare-metal hoặc RTOS nhỏ.","RISC-V mở; core E31 RV32IMAC; tối đa 320 MHz; có GPIO, UART, SPI/QSPI, I²C, PWM, timer, watchdog, RTC, JTAG debug; hỗ trợ QSPI Flash.","RAM nhỏ 16 KiB; không phù hợp Linux/OS lớn; không có USB, Ethernet, GPU; không phù hợp xử lí AI, ảnh, multimedia; phụ thuộc flash ngoài cho chương trình lớn.",https://www.sifive.com/document-file/freedom-e310-g002-datasheet
FreeDom U540,SiFive,"TSMC 28HPC, 28 nm","U54 (4 cores), E51 (1management core)","5 core, cấu hình 4+1",Lên đến khoảng 1.5 GHz,L1 cache riêng cho từng core; L2 cache dùng chung 2 MiB; hỗ trợ DDR3/DDR4 ngoài,"DDR3/DDR4 controller, 3 QSPI, 2 UART, I²C, 2 PWM, GPIO, Gigabit Ethernet MAC, ChipLink, PLIC, CLINT, JTAG debug",Linux,"Board HiFive Unleashed, phát triển Linux/RISC-V, gateway, edge device, nghiên cứu SoC đa nhân","RISC-V 64-bit đa nhân; hỗ trợ Linux; có Supervisor mode/Sv39; có DDR, Ethernet, cache L2 2 MiB; phù hợp phát triển phần mềm hệ thốn","Không có GPU, USB, display/camera controller tích hợp; cần DDR ngoài; không phù hợp multimedia/AI nặng; chủ yếu là nền tảng phát triển/nhúng Linux",https://www.sifive.com/document-file/freedom-u540-c000-manual
GAP8,GreenWaves Technologies,TSMC 55 nm LP CMOS,1 RISC-V Fabric Controller + 8 RISC-V compute cores + HWCE,9 RISC-V cores,Tối đa khoảng 250 MHz,512 KiB L2 SRAM; 64 KiB L1 cluster TCDM; 16 KiB L1 FC; 16 KiB shared instruction cache cho cluster; 4 KiB instruction cache cho FC,"GPIO, UART, I²C, I²S, SPI/QSPI, SPI slave, CPI camera interface, HyperBus, LVDS, PWM, RTC, JTAG, DMA/uDMA",RTOS,"AIoT, xử lí ảnh/âm thanh/cảm biến biên, nhận diện hình ảnh nhỏ, keyword spotting, machine monitoring, camera thông minh công suất thấp",Siêu tiết kiệm năng lượng; có 8-core cluster cho xử lí song song; có HWCE tăng tốc CNN; bộ nhớ L2 512 KiB khá lớn cho MCU AI; nhiều giao tiếp cảm biến/camera,"RAM vẫn nhỏ so với application processor; không có MMU/Linux; lập trình song song phức tạp; không phù hợp AI lớn, multimedia nặng hoặc ứng dụng cần OS đầy đủ",https://gwt-website-files.s3.amazonaws.com/gap8_datasheet.pdf
K210,Kendryte,TSMC 28 nm,"Dual-core RISC-V 64-bit, mỗi core có FPU; tích hợp KPU cho AI và APU cho âm thanh",2 core CPU,400 MHz,8 MiB SRAM on-chip; mỗi core có 32 KiB I-cache; có OTP,"FPIOA, GPIO, UART, SPI/QSPI, I²C, I²S, WDT, Timer, RTC, AES, SHA256, camera/DVP, LCD interface, microphone array",Linux,"AIoT, camera AI nhỏ, nhận diện hình ảnh, nhận diện giọng nói, smart home, smart meter, edge AI công suất thấp","Có KPU tăng tốc neural network; RAM on-chip 8 MiB khá lớn so với MCU; CPU RISC-V 64-bit dual-core 400 MHz; nhiều ngoại vi cho camera, LCD, âm thanh và cảm biến",RAM vẫn nhỏ cho OS lớn; KPU chỉ hợp mô hình nhỏ/đã tối ưu; không có GPU/Ethernet/USB tốc độ cao tích hợp; hệ sinh thái phần mềm hẹp hơn SoC phổ thông,https://www.kendryte.com/en/proDetail/210
RV32M1,NXP,Không thấy nêu rõ process node trong datasheet công khai này,1 RISC-V RI5CY + 1 RISC-V ZERO_RISCY + 1 Arm Cortex-M4F + 1 Arm Cortex-M0+,4 core,Tối đa khoảng 72 MHz,"Tổng 1.25 MB Flash, 384 KB SRAM; trong đó RI5CY có 1 MiB Flash + 192 KiB SRAM, ZERO_RISCY có 256 KiB Flash + 128 KiB SRAM","GPIO, DMA, Watchdog, CRC, crypto accelerator, ADC, DAC, comparator, timer, PWM, RTC, I²C, UART, SPI, I²S, external memory interface, smart card, USB Full-Speed, uSDHC, radio 2.4 GHz hỗ trợ BLE, Generic FSK, IEEE 802.15.4/Thread",RTOS,"Thiết bị IoT không dây, BLE/Thread, cảm biến công suất thấp, board phát triển RV32M1-VEGA, nghiên cứu kết hợp RISC-V và Arm",Có kiến trúc đa nhân dị thể; tích hợp cả RISC-V và Arm; có radio 2.4 GHz; nhiều ngoại vi; bộ nhớ flash/SRAM khá lớn cho MCU; phù hợp IoT không dây,"Không phải application processor; không chạy Linux đầy đủ; tần số thấp hơn các SoC mạnh; phần mềm Zephyr hiện không còn maintainer tích cực; chip chủ yếu là nền tảng đánh giá, không phổ biến thương mại",https://github.com/open-isa-org/open-isa.org/blob/master/Reference%20Manual%20and%20Data%20Sheet/RV32M1DS_Rev.1.1.pdf
RavenRV32,"Efabless, hợp tác với X-FAB","X-FAB XH018, 180 nm, 6-metal process","PicoRV32, RISC-V 32-bit",1 core,Đã bench-test 100 MHz; mô phỏng có thể lên đến khoảng 150 MHz,"SRAM 32 × 1024 bit, tức khoảng 4 KiB; hỗ trợ SPI flash ngoài","16 GPIO, SPI flash interface, UART/simpleuart, 2 ADC, 1 DAC, comparator, over-temperature alarm, 100 kHz RC oscillator, programmable GPIO output functions, programmable GPIO input interrupts",RTOS,"MCU RISC-V mã nguồn mở, thiết kế tham chiếu ASIC, học tập/ nghiên cứu chip RISC-V, điều khiển analog-mixed-signal nhỏ, cảm biến đơn giản",Thiết kế SoC RISC-V silicon-validated; mã nguồn mở ở mức top-level; có cả ngoại vi số và analog; phù hợp làm mẫu để clone/customize ASIC,"RAM rất nhỏ; chỉ 1 core; không có MMU/Supervisor mode; ngoại vi hạn chế; không phù hợp OS lớn, AI, multimedia hay ứng dụng phức tạp",https://github.com/efabless/raven-picorv32/blob/master/doc/EFX3201RV.v2.pdf
PolarFire SoC,Microchip,Không nêu rõ process node trên trang sản phẩm/datasheet công khai; thuộc dòng non-volatile FPGA,"U54 (4 cores), E51 (management core)",5,625 MHz,"L2 cache 2 MB, có thể cấu hình làm cache/LIM/scratchpad; FPGA fabric RAM tùy dòng, khoảng 1.8–31.6 Mbits; hỗ trợ DDR ngoài","2 × Gigabit Ethernet MAC, MMC 5.1, 2 × CAN, QSPI, 2 × SPI, 2 × I²C, 5 × UART, USB 2.0 OTG, GPIO, PCIe Gen2/SerDes tùy phiên bản",Linux,"SoC FPGA cho công nghiệp, IoT/IIoT, edge computing, vision/AI edge, gateway, hệ thống cần FPGA + Linux RISC-V","RISC-V 64-bit đa nhân; chạy Linux; có FPGA fabric linh hoạt; tiết kiệm điện; bảo mật tốt; có Ethernet, CAN, USB, PCIe/SerDes tùy dòng","Phức tạp hơn MCU thường; cần tool FPGA/SoC như Libero, SoftConsole; không có GPU; hiệu năng CPU không bằng application processor mạnh; phải dùng DDR ngoài cho Linux",https://www.microchip.com/en-us/products/fpgas-and-plds/system-on-chip-fpgas/polarfire-soc-fpgas
GD32VF103,GigaDevice,Không thấy nêu rõ process node trong datasheet công khai này,"Bumblebee RISC-V 32-bit core, kiến trúc RV32IMAC",1,Tối đa 108 MHz,"Tối đa 128 KB Flash, 32 KB SRAM","GPIO, EXTI, DMA, ADC 12-bit, DAC 12-bit, timers/PWM, RTC, watchdog, USART/UART, SPI, I²C, I²S, CAN, USB FS, CRC, JTAG/SWD debug",RTOS,"MCU RISC-V thay thế nhóm STM32F103, board Longan Nano, điều khiển nhúng, IoT, cảm biến, motor/LED, thiết bị giao tiếp USB/CAN",RISC-V 32-bit mở; tần số 108 MHz; ngoại vi rất đầy đủ cho MCU; có USB FS và CAN; bộ nhớ khá ổn cho vi điều khiển,Không có MMU/Supervisor mode; không chạy Linux; RAM chỉ 32 KB; không có Ethernet/GPU/display/camera; không phù hợp AI/multimedia hay xử lí nặng,https://github.com/riscv-mcu/GD32VF103_DataSheets/blob/master/GD32VF103_Datasheet_Rev_1.0.pdf
CH573,WCH,Không thấy nêu rõ process node trong datasheet,"QingKe RISC-V3A 32-bit, hỗ trợ RV32IMAC, có nhân/chia phần cứng",1 core,"Nhiều mức xung hệ thống, thấp nhất 32 kHz; HSE khuyến nghị 32 MHz; PLL mặc định 480 MHz","512 KB FlashROM gồm 448 KB CodeFlash, 32 KB DataFlash, 24 KB BootLoader, 8 KB InfoFlash; 18 KB SRAM gồm RAM16K + RAM2K","BLE 4.2, USB 2.0 full-speed host/device, SPI, 4 UART, ADC 12-bit, TouchKey, RTC, Timer/PWM, GPIO, AES-128, nhiệt độ sensor, watchdog, DMA, RF 2.4 GHz",RTOS,"Thiết bị BLE/IoT công suất thấp, cảm biến không dây, beacon, USB-BLE bridge, smart home, thiết bị đeo đơn giản","Tích hợp BLE + USB + RISC-V trong một MCU; Flash 512 KB khá lớn; có AES-128, ADC, TouchKey, RTC, PWM; công suất thấp; hỗ trợ OTA",RAM chỉ 18 KB; BLE 4.2 không mới bằng BLE 5.x; không có MMU/Supervisor mode; không chạy Linux; không có Ethernet/GPU/display/camera,https://www.wch.cn/products/CH573.html
